TRADEDATE,Open,High,Low,Close,Volume
2023-12-19,268.38,269.71,265.0,267.35,38287810
2023-12-20,267.51,269.1,266.2,266.61,31094000
2023-12-21,266.4,266.87,263.5,265.19,33301420
2023-12-22,266.06,271.9,265.37,271.3,58724860
2023-12-25,271.72,273.85,270.05,271.08,38115690
2023-12-26,271.0,272.89,270.0,271.9,22658320
2023-12-27,271.9,272.59,270.85,271.08,17214050
2023-12-28,270.92,272.48,268.52,271.74,29439730
2023-12-29,272.19,272.59,270.55,270.82,20810540
2024-01-03,271.9,274.7,271.0,274.56,20586020
2024-01-04,274.67,275.48,273.7,274.12,11729380
2024-01-05,274.3,274.69,272.8,273.62,9635550
2024-01-08,273.6,277.0,273.53,276.76,21489440
2024-01-09,276.97,278.0,274.71,275.28,20316030
2024-01-10,275.3,276.16,273.64,274.49,20660410
2024-01-11,274.78,275.97,274.01,275.71,19526030
2024-01-12,276.0,276.96,274.77,275.84,17702040
2024-01-15,276.45,277.73,275.21,275.96,21397690
2024-01-16,276.22,276.45,274.1,276.01,16110240
2024-01-17,276.02,279.17,275.75,278.0,34256680
2024-01-18,278.24,278.87,276.76,277.07,17701680
2024-01-19,277.39,277.47,273.55,274.86,28052580
2024-01-22,274.86,275.9,273.85,274.93,15086860
2024-01-23,274.7,277.26,274.31,275.9,20092540
2024-01-24,275.9,276.44,273.7,273.77,20203730
2024-01-25,274.0,274.18,271.55,272.81,24436130
2024-01-26,273.1,273.72,272.21,272.65,11131250
2024-01-29,273.02,274.95,272.7,274.05,17095190
2024-01-30,274.01,277.25,273.97,275.67,27236150
2024-01-31,275.84,276.45,275.0,276.0,12543740
2024-02-01,276.03,277.75,275.93,276.86,15976730
2024-02-02,277.0,277.3,276.0,276.74,12718190
2024-02-05,277.0,278.57,276.9,277.84,16056990
2024-02-06,278.0,278.99,277.3,278.67,15960270
2024-02-07,278.82,284.5,278.81,284.41,45372390
2024-02-08,284.52,286.24,281.25,282.17,44132450
2024-02-09,282.17,284.0,281.5,283.5,24378920
2024-02-12,283.66,287.84,283.5,287.28,33890070
2024-02-13,287.52,289.0,285.4,287.07,33307500
2024-02-14,287.07,290.6,286.84,289.06,35874260
2024-02-15,289.3,290.45,287.63,290.24,25912290
2024-02-16,290.47,292.3,286.25,288.33,53446950
2024-02-19,288.51,289.98,287.07,288.93,24327480
2024-02-20,289.2,289.28,283.29,283.9,44972610
2024-02-21,283.9,285.28,280.2,282.0,48915360
2024-02-22,282.1,285.05,282.1,284.77,25175120
2024-02-26,288.52,291.3,287.0,291.25,42969530
2024-02-27,291.35,293.0,290.55,292.52,32504830
2024-02-28,292.6,293.95,289.75,291.75,49330680
2024-02-29,292.31,293.2,291.3,292.19,22436940
2024-03-01,292.2,295.88,292.2,295.38,27129280
2024-03-04,295.87,299.5,295.8,299.17,40609910
2024-03-05,299.33,300.41,297.57,298.4,41756340
2024-03-06,298.2,299.33,296.82,297.71,17756170
2024-03-07,297.72,300.58,297.24,300.4,21982790
2024-03-11,301.0,302.95,298.5,299.79,41781940
2024-03-12,299.6,301.07,297.34,300.9,28743980
2024-03-13,301.2,301.49,298.7,298.85,24012100
2024-03-14,298.5,298.7,295.14,295.83,42205930
2024-03-15,295.71,299.44,295.29,298.3,26040280
2024-03-18,299.4,299.98,297.63,298.87,20281860
2024-03-19,298.3,299.4,294.21,295.2,59714940
2024-03-20,295.3,296.88,293.52,295.4,30703230
2024-03-21,295.99,297.3,291.8,295.62,70680800
2024-03-22,295.77,296.79,291.05,292.99,48982100
2024-03-25,294.0,294.93,292.13,293.9,25567820
2024-03-26,294.5,295.82,293.04,294.11,16295560
2024-03-27,294.47,295.11,293.47,295.1,14560090
2024-03-28,295.5,299.3,295.5,299.0,33675160
2024-03-29,299.38,299.5,298.0,298.72,17705950
2024-04-01,300.0,301.65,299.5,300.43,28662870
2024-04-02,300.43,300.99,298.95,300.38,19980460
2024-04-03,300.4,307.13,300.17,306.72,58228980
2024-04-04,306.8,307.77,304.36,304.61,29074900
2024-04-05,304.62,306.5,303.7,306.1,19355990
2024-04-08,306.5,308.6,306.22,307.75,24899610
2024-04-09,308.1,309.35,305.51,306.76,32044440
2024-04-10,306.76,307.14,304.62,306.48,20682180
2024-04-11,306.7,308.0,305.7,306.95,20527000
2024-04-12,307.4,307.87,306.3,307.1,16025300
2024-04-15,307.47,308.39,306.64,307.99,20746510
2024-04-16,308.0,308.65,307.0,308.29,17135850
2024-04-17,308.65,309.74,305.91,306.59,28227330
2024-04-18,306.01,308.29,305.05,307.99,20387560
